,secID,code
349,000790.XSHE,790
350,000791.XSHE,791
351,000792.XSHE,792
352,000793.XSHE,793
353,000795.XSHE,795
354,000796.XSHE,796
355,000797.XSHE,797
356,000798.XSHE,798
357,000799.XSHE,799
358,000800.XSHE,800
359,000801.XSHE,801
360,000802.XSHE,802
361,000803.XSHE,803
362,000805.XSHE,805
363,000806.XSHE,806
364,000807.XSHE,807
365,000809.XSHE,809
366,000810.XSHE,810
367,000811.XSHE,811
368,000812.XSHE,812
369,000813.XSHE,813
370,000815.XSHE,815
371,000816.XSHE,816
372,000817.XSHE,817
373,000818.XSHE,818
374,000819.XSHE,819
375,000820.XSHE,820
376,000821.XSHE,821
377,000822.XSHE,822
378,000823.XSHE,823
379,000825.XSHE,825
380,000826.XSHE,826
381,000827.XSHE,827
382,000828.XSHE,828
383,000829.XSHE,829
384,000830.XSHE,830
385,000831.XSHE,831
386,000832.XSHE,832
387,000833.XSHE,833
388,000835.XSHE,835
389,000836.XSHE,836
390,000837.XSHE,837
391,000838.XSHE,838
392,000839.XSHE,839
393,000848.XSHE,848
394,000850.XSHE,850
395,000851.XSHE,851
396,000852.XSHE,852
397,000856.XSHE,856
398,000858.XSHE,858
399,000859.XSHE,859
400,000860.XSHE,860
401,000861.XSHE,861
402,000862.XSHE,862
403,000863.XSHE,863
404,000866.XSHE,866
405,000868.XSHE,868
406,000869.XSHE,869
407,000875.XSHE,875
408,000876.XSHE,876
409,000877.XSHE,877
410,000878.XSHE,878
411,000880.XSHE,880
412,000881.XSHE,881
413,000882.XSHE,882
414,000883.XSHE,883
415,000885.XSHE,885
416,000886.XSHE,886
417,000887.XSHE,887
418,000888.XSHE,888
419,000889.XSHE,889
420,000890.XSHE,890
421,000892.XSHE,892
422,000893.XSHE,893
423,000895.XSHE,895
424,000897.XSHE,897
425,000898.XSHE,898
426,000899.XSHE,899
427,000900.XSHE,900
428,000901.XSHE,901
429,000902.XSHE,902
430,000903.XSHE,903
431,000905.XSHE,905
432,000906.XSHE,906
433,000908.XSHE,908
434,000909.XSHE,909
435,000910.XSHE,910
436,000911.XSHE,911
437,000912.XSHE,912
438,000913.XSHE,913
439,000915.XSHE,915
440,000916.XSHE,916
441,000917.XSHE,917
442,000918.XSHE,918
443,000919.XSHE,919
444,000920.XSHE,920
445,000921.XSHE,921
446,000922.XSHE,922
447,000923.XSHE,923
448,000925.XSHE,925
449,000926.XSHE,926
450,000927.XSHE,927
451,000928.XSHE,928
452,000929.XSHE,929
453,000930.XSHE,930
454,000931.XSHE,931
455,000932.XSHE,932
456,000933.XSHE,933
457,000935.XSHE,935
458,000936.XSHE,936
459,000937.XSHE,937
460,000938.XSHE,938
461,000939.XSHE,939
462,000948.XSHE,948
463,000949.XSHE,949
464,000950.XSHE,950
465,000951.XSHE,951
466,000952.XSHE,952
467,000953.XSHE,953
468,000955.XSHE,955
469,000956.XSHE,956
470,000957.XSHE,957
471,000958.XSHE,958
472,000959.XSHE,959
473,000960.XSHE,960
474,000961.XSHE,961
475,000962.XSHE,962
476,000963.XSHE,963
477,000965.XSHE,965
478,000966.XSHE,966
479,000967.XSHE,967
480,000968.XSHE,968
481,000969.XSHE,969
482,000970.XSHE,970
483,000971.XSHE,971
484,000972.XSHE,972
485,000973.XSHE,973
486,000975.XSHE,975
487,000976.XSHE,976
488,000977.XSHE,977
489,000978.XSHE,978
490,000979.XSHE,979
491,000980.XSHE,980
492,000981.XSHE,981
493,000982.XSHE,982
494,000983.XSHE,983
495,000985.XSHE,985
496,000987.XSHE,987
497,000988.XSHE,988
498,000989.XSHE,989
499,000990.XSHE,990
500,000991.XSHE,991
501,000993.XSHE,993
502,000995.XSHE,995
503,000996.XSHE,996
504,000997.XSHE,997
505,000998.XSHE,998
506,000999.XSHE,999
507,001696.XSHE,1696
508,001872.XSHE,1872
509,001896.XSHE,1896
510,001965.XSHE,1965
511,001979.XSHE,1979
512,002001.XSHE,2001
513,002002.XSHE,2002
514,002003.XSHE,2003
515,002004.XSHE,2004
516,002005.XSHE,2005
517,002006.XSHE,2006
518,002007.XSHE,2007
519,002008.XSHE,2008
520,002009.XSHE,2009
521,002010.XSHE,2010
522,002011.XSHE,2011
523,002012.XSHE,2012
524,002013.XSHE,2013
525,002014.XSHE,2014
